Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
OC2022,Americas,South America,Colombia,Opioids,Opiates,,Wholesale,2019,8949000.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Opioids,Opium,,Wholesale,2019,2546900.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Opium,,Wholesale,2018,2570500.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Opiates,,Wholesale,2018,8267800.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Opioids,Opium,,Wholesale,2017,2187800.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Opioids,Opiates,,Wholesale,2017,11702100.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Opium,,Wholesale,2016,2275600.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Opioids,Opiates,,Wholesale,2016,9929200.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
OC2022,Americas,South America,Colombia,Sedatives and tranquillizers,Clonazepam (Rivotril),,Street,2019,18400.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Sedatives and tranquillizers,Clonazepam (Rivotril),Tablets,Street,2018,17600.00,,,Tablet,"National currency (not EUR, USD or CHF)"
OC2019,Americas,South America,Colombia,Sedatives and tranquillizers,Clonazepam (Rivotril),,Street,2017,12100.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Colombia,Sedatives and tranquillizers,Clonazepam (Rivotril),,Street,2016,10900.00,,,Tablet,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Ecuador,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2019,20.00,10.00,30.00,Tablet,USA
ARQ,Americas,South America,Ecuador,Amphetamine-type stimulants,“Ecstasy”-type substances,,Street,2017,25.00,20.00,30.00,Tablet,USA
ARQ,Americas,South America,Ecuador,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,5.00,0.50,10.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,800.00,150.00,1000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,440.00,60.00,2000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,4.10,3.00,5.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Cocaine,,Street,2019,4.35,1.00,10.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2019,1800.00,700.00,5000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Street,2019,2.42,1.00,15.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Cocaine,,Wholesale,2019,2000.00,900.00,5000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Street,2017,7.52,5.00,8.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Cocaine,,Wholesale,2017,1300.00,700.00,3000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Cocaine,,Street,2017,12.52,8.00,13.00,Gram,USA
ARQ,Americas,South America,Ecuador,Cocaine-type,Cocaine,,Wholesale,2017,1800.00,1500.00,4000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Hallucinogens,LSD,,Street,2019,45.00,10.00,50.00,Unit,USA
ARQ,Americas,South America,Ecuador,Opioids,Heroin,,Wholesale,2019,12000.00,1000.00,15000.00,Kilogram,USA
ARQ,Americas,South America,Ecuador,Opioids,Heroin,,Street,2019,4.70,2.00,12.50,Gram,USA
ARQ,Americas,South America,Ecuador,Opioids,Heroin,,Street,2017,21.75,18.00,25.00,Gram,USA
ARQ,Americas,South America,Ecuador,Opioids,Heroin,,Wholesale,2017,6600.00,3200.00,10000.00,Kilogram,USA
ARQ,Americas,South America,Paraguay,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,17.00,6.00,25.00,Kilogram,USA
